,Text
10,"Eatons is probably one of the biggest tourist attraction places in Toronto, and taking that into consideration, the workers here are relatively nice.They carry a variety of brands, from low end to high end. It has Holt, Saks, and the Bay. Sephora here is definitely my favourite due to the size and selection, but sales associates at this Sephora is the rudest I've encountered in Canada.Food court is at the lowest level, lots of choices."
11,"This shopping center is massive. There are three floors of stores and restaurants, and it would take days to shop the whole center. It's location does make it a great place to stop for some food on the way to the next tourist destination, if you are visiting the city as a tourist. The food court is always crowded though. I highly recommend finding a table first and having a friend save your seat as you get your food, otherwise you will have food to eat and no place to eat it."
12,"A man and clothes shopping never fit together. Add a girl or your mom and the situation can turn ugly. During my long shopping day at the Eaton Centre, I went with my mom, my brother, and my brother's girlfriend. After a great lunch at St. Louis, we began our adventure.To begin our shopping spree, we first entered The Face Shop. Initially I did not want to enter the store but did not want to be alone waiting. The only guys in sight were my brother and me. Trying to maintain my manly composure, I awkwardly continued to accompany the girls. After minutes of waiting and watching the girls decide which lotion best suits their needs, we left buying something (don't really know what).Venturing around The Eaton Centre, we shopped at J Crew and Nine West but came out empty handed. When we arrrived at Roots, we were greeted with a long lineup awaiting us. Impatient and unable to wait, we left and continue to shop.We stumbled upon The Bay and entered for more shop/walk. Arriving at the shoe section, my brother and me sat down in nearby seats while the girls continued their shop for shoes.Several minutes later we left without purchasing a shoe. In dire need of a drink after a long day of walking, we purchase Shaken Iced Tea from Starbucks. The drink was refreshing and iced cold. The shaken iced tea was excellent to end my shopping adventure.The Eaton Centre is filled with stores tailored made for a female. Although I came out emptied handed, I still found the shopping adventure to be worthwhile. If you are a female in dire need of clothes, sally forth towards the Eaton Centre"
13,"I'd reccommend public transportion (especially the subway) to get to Eaton Centre since as far as I know, there isn't much, if any, free parking. Even though the Eaton Centre is an iconic mall, I honestly wouldn't recommend it unless you're a tourist. It's overwhelmingly huge... but it's not worth the sore feet. I'd recommend going to Yorkdale (my #1 fav) or Vaughan Mills, where you still get all the stores, but without the ridiculous size. The planning and layout is super weird too. They also have really random stores like Canadian Tire.The Eaton Centre is also super outdated and I never feel like it's super clean either."
14,"Who wouldn't love this place?I mean it isn't any outlet center but it does deck itself up quitenice during the holidays. The whole little district outside of theEaton Center makes me a tad warm and fuzzy for being in Toronto.Probably because it reminds me of being in Halifax all in one street.For the most part, whose going to complain about the shops themselveswithin the Eaton Center? As for the center itself, I found it ratherdifficult to navigate around in there. Realistically, it is probablyjust me and my lack of direction in unvisited places. I couldn't findthe bathrooms, I couldn't find the food, I was a mess. On the verge ofa broken bladder and an empty stomach, forced to grab a smoothie thatwas full of sugar, and couldn't decide between Victoria Secret orLocale purchases. The HORROR!No but really, I didn't find there was a good solid amount of signageletting a girl know where the food court is. All that kept runningthrough my mind was... 'they have to have more than a starbucks and aBP!' I later found the entire bottom level was food, only after I hada large yogen fruz.I could get used to it. No question. Taking my 3 to a 4 to a 5."
15,"On our one day trip to Toronto, we decided to go to the mall in the morning to shop a bit before we headed down to CN Tower and explore the other areas. I really liked how spacious the mall was. Great stores on 3 levels. The reason I am giving this one star instead of anything better, is because I went to use the restroom before we left the mall and it had to have been the dirtiest, most disgusting restroom I have ever been in. I mean, airport restrooms are much cleaner than this. Thinking this mall is fairly clean, let me use the rest room here. I walked in and my goodness, there was toilet paper ALL OVER literally in every stall. Water or god knows what was on the floors. I mean just flat out filthy and gross. This is definitely not sanitary and should be reported to the city... Which I might actually do. Just thinking about it, makes me sick to my stomach. I walked out of there with the disgusted look on my face and told my boyfriend that I refuse to use the restroom there."
16,favourite mall ever since.  it can get pretty really busy and tons of people but the place is huge so lots of space. lots of walking. lots of good stores. my favourite store is the forever 21 there. i did all my shopping and im happy about it even if i spend a lot of money lol.( i dont go here that much. my first time again after 3 years. im from kingston lol) my husband just love the blue jays store he went nuts about the store lol
17,"We happened upon this shopping emporium after my daughter asked out Lyft driver where to find a decent mall. That's was an understatement.There's a store for anything and everything here. The crowds were manageable, washing rooms very clean, and the food court all-encompassing for nearly any type of cuisine you'd desire while shopping.We spent a few hours and a few dollars as well, but watching the interesting individuals that populate this Toronto destination for shopping is a real treat."
18,"I still classify this as a tourist mall but it still has its practicalities.  It's a tourist attraction so ya it will be open when other malls are closed sometimes...  It's a huge mall, huge.  Restaurants, stores, a subway station at either end but it's most convenient to just traverse though say from Queen to Dundas while staying inside. Renovations?  Chains?  This place has both in what seems to be a forever type thing.  The Hudson's Bay on the Queen end and whatever US based department store on the Dundas side.  Open spaces, multiple levels, see through elevators and a renovated Urban Eatery.  How new is this place?  The Richtree open market cafeteria style restaurant has taken over the older dungeon type bottom floor mini-open concept type of eatery what once was the old tucked away overcrowded and noisy southern food court.  My favorite entrance/exit has to be the side with Trinity Square side that leads towards City Hall and Trinity Church.There is no more Eaton's (to which the entire mall was named) which was the department store at the Dundas end of the mall but the name lives on.Update:  Eaton's formally Sears north side department store will be Nordstroms."
19,"At the age of thirty-meh, you can understand that I'm not quite a mall-rat.  I've lost my loitering gene but when I'm in a mood to shop, I quite fancy the Eaton Centre.  It provides me with a few criteria that I feel are musts; great variety of shops, decent organization, and it's walking distance from my house.Centrally located and on the Toronto subway line, it's by far the easiest mall to get to.  The food court is moderately inoffensive as food courts go, but thankfully there are some okay sit-down restaurants if you fancy something a little less tray-oriented.The division of the shops is by level it seems, the more inexpensive shops and more generic franchises found on the lower level, with the more expensive shops finding themselves on the literal and metaphorical higher tiers of the mall.  Bookended on the north and south sides by Sears and The Bay respectively, you're usually able to find some form of clearance sale or other from either end.  An easy way to kill off a Saturday."
20,"Eaton Centre is like a point of reference for anyone going to Toronto just like the CN Tower. It's a huge, behemoth of a structure that currently is getting a makeover and houses hundreds of shops and restaurants. That being said, it's a mall. Just a mall. There are lots of other stores around the city to check out."
21,"Yeah, it's big.  Got it.  If I were a twelve year old tourist from someplace with no malls I would think that Jesus lived here.  But generally speaking there are maybe two stores here I ever need to go into, and I'd just as soon they were standalone stores as this monstrosity.To be fair, I never understood the urge to stroll a mall as entertainment - they are gross, with shitty florescent lights and bad overpriced greasy food.  And there's never, ever a bathroom.  Even when it's not the dreaded 8 month ""holiday season"" it's stressful and panic inducing.  And really, I can't think of anything more embarrassing than the fact that a huge chunk of our downtown core is dedicated shopping center space.  Showing friends in from out of town the ""downtown"" is like this: ""Oh do you like malls? No? Oh well I guess don't go on Yonge Street between Richmond and Gerrard.""I bet it brings in a gazillion dollars, yes.  For tourists who come to shop in stores they have in slightly less density in their own home malls.  For any other purpose this mall could be in any other part of the city.  So let's get on the phone and see if anyone can figure out how to move it, ok?"
22,"One thing I have found particularly worrying about Toronto as a travel destination is how predominantly Eaton Centre is mentioned as a tourist attraction. It's just a mall for Pete's sake and even a particularly great one. Edmonton Mall had their run as the world's largest mall once-upon-a-time, with their roller coaster and water park but they are a two trick town. Is either that, the Calgary Stampede or endless fields of wheat. Your pick. We have a bit more history and I would hope more to see than a mall. Since as far as malls go, Eaton's is nothing exceptional. It had the distinction of being the stronghold of the Eaton's empire before it got bought out. Leaving us with next to no Canadian institutions. Seriously, what do we got left? The Bay is long gone, Timmy's is American and we got no mayor beer breweries. Canadian Tire, that's it... and the banks.Alas, if anything this mall is just long. Sure the glass dome over the two buildings lends itself for copious amounts of natural light and might make for a great photo of two. Specially with the flying Geese... What does everyone have a thing for the geese?But the stores in there are no different than anything else you would find at Square One or Yorkdale. I guess it just depends on your budget. For example, my store of choice for regular clothing was the Mexx which has dozens of locations all across town.Sure you can come in a pretty much find almost anything you need, it doesn't mean that you have to come here though. Since they do charge for parking plus, as mentioned before, this place is generally not as busy as it looks since most of the pedestrian traffic is people coming/exiting subway stations. Personally I have not bought anything in this mall in years. However I walked it yesterday and I think I am far, far from the only one."
23,"Eaton Centre is a magnet for people! This place is never busy. Mix of high end and mid end stores, of you're lucky you'll find some bargains.One of the biggest malls in Toronto, so be prepared to walk a long way. Mall is directly connected to Dundas and Queen subway stations, along with 'The Path' (Toronto's subterranean system)."
24,"Imagine Times Square, shrunken down in size a bit and with less people.  That's Toronto Eaton Centre!I loved the live performances and the whole atmosphere of the lights.  My husband and I enjoyed ourselves walking around outside after dinner.  You don't need more than 1 night to enjoy the scenery though.Inside the mall, you'll find many well known brand stores to shop your hearts out.  Sephora, H&M, J Crew, Victoria Secret, Aldo, Forever 21, A&F and etc..."
25,"Big mall, fun to wander. Lots of familiar chain stores. Can get really busy in the evenings (after work) and during the lunch hour. Accessible via the Path, which is great during the winter."
26,"What can I say? It's a mall. Like it or not, if you live in the downtown core you will probably find yourself needing to come here at least once. Eaton is deceptively small - it's a long, single hall flanked by stores, so you don't quite realize that it's three stories tall with a foodcourt that takes up an entire additional basement floor. I think it takes a couple of trips to really appreciate/realize/absorb the size of the mall.What Eaton has in quantity of stores it lacks in size - most of the individual stores are on the smaller side, especially since many of them have a second location on Yonge or Queen West, so Eaton is more about the convenience of having everything in one location. Eaton is definitely very well lit, bright, and airy, with a really nice, massive open skylight and a fountain, which helps mitigate the fact that it is usually extremely crowded and overrun with younger kids and angsty teens. I've pretty much never seen the mall not extremely crowded to some degree.The food court is pretty top notch in terms of quantity - sushi, asian foods, burgers, McDonalds galore, with a massive amount of seating. However, bussiness people tend to swarm here during lunch break, so despite the seating it's still almost impossible to find a table at 12:30.Extremely convenient - right on the PATH, and very easily accessible by public transit."
27,"A ""must do"" in Toronto! There are several floors of shopping tons of food options. My only complaint is the lack of WiFi. Cell coverage works though throughout."
28,"This mall is effing amazing!! I don't consider myself a shopaholic but I love to browse and hang out at malls. This place has everything you could need, a great selection of stores in a beautiful, modern, spacious and bright environment. First thing I noticed was the glass ceiling giving way to a lot of natural sunlight.All the stores all well kept, employees are all extra friendly and willing to help - Despite there being many big chains that I can find back in my hometown, I found something about the people of Toronto - a certain perkiness that I don't notice everywhere.Having everything under one roof makes it convenient but walking from one end to another can be a bit tiring since it's so wide.I'm particularly impressed with the Urban Eatery food court, I love how all restaurants serve food on actual dishware and cutlery and there are no garbage bins as staff sort through the trays to minimize waste. Toronto Eaton Centre immediately set the standard and is ahead of the game, coming from Montreal, the food courts around here only use paper or plastic plates.Only issue is that I found there was a lack of space to sit and rest, food court is always packed.Also, I didn't notice any free wifi available throughout the mall or it's just not advertised, so I assume they don't encourage people to just come and hang out."
29,"An average mall with all the usual stores, quite light and bright and spacious.Nothing special in terms of designer shopping which is disappointing as its the largest mall in Toronto."
30,This place has everything - from the outside you would need to look closely for ways in but once in its huge..! Every type of shop you could want - just lose yourself in shopping...
31,"Eaton is more of a mall for tourists. It's huge and has many brands in one place. Unlike other malls, there's no free parking and it's always super busy. There's lines in almost every store! I prefer shopping online over Eaton.The layout is also kind of weird. There's stairs all over the place (from one level to the same level). Why not just make the entire level flat? There's nothing really high end here, it's more low to middle end. High end brands are all on Bloor."
32,Lol - search indoor shooting range and the eaton center will show up
33,What a great shopping center. It is is multi level mall with lots of great stores. There is a large Nordstrom and many other quality stores.
34,"This place used to be hip, but really, it needs a facelift. Anyway, is a shoppers heaven. I think it has 4 floors. It has a subway stop in the basement for those cold days when you don't want to go outside. Anyway, the last good store here is Roots. And the McDonald's that has been on the upper level forever."
35,"Honestly, not too much of a fan of Eaton Centre for shopping yet, but I feel it is great for other reasons.1. It is a great meeting place. It is connected to Dundas and Queen Station.2. Get a free map of Toronto and downtown Toronto somewhere in this mall.3. Eaton Centre has pretty Christmas displays during Christmas. It is worth waiting for really."
36,"Great place to meet people, sit down, eat, used the free wifi from Apple Store, and window shopping, but never to do regular shopping. It is too expensive."
37,This mall is huge and it has so many levels.  We didn't have a chance to go to all the floors as we were a little bit tired.  We went into couple shops but didn't purchase anythings there.
38,this mall has everything and anything. Quite possibly my favorite mall out towards the east coast of Canada.
39,"Eaton Centre is definitely one of my favourite shopping malls ever! It's accessible via TTC (Dundas Station), located within walking distance of a million restaurants, and also has the perfect selection of stores inside the mall. There's an eclectic mix of high-end/low-end shops as well as the choice between a regular, everyday food court or the fancy one on the other side of the mall. If you're sick of eating mall-food you can walk to any trendy restaurant outside of Eaton. If you're not into shopping, that's okay- you can cross the street to watch a movie if you want!There are huge department stores as well, such as Hudson's Bay and (drumroll please) Saks Fifth Avenue, which is opening soon! If you walk outside a bit you'll reach a smaller mall that contains Muji and Red Lobster. The great thing about Eaton is its proximity to so many delicious restaurants and other attractions. It's a pretty solid tourist choice, but also one of my favourite places to frequent (on a less busy weekday, of course)."
40,"People don't come to Toronto to shop, they leave Toronto to shop.The downtown Eaton Centre has done nothing to change this. The Eaton Centre is mediocre at best and that is giving it more credit then it deserves. You won't find anything original, all the same stores you find in any mall, nothing unique.  If you are fussy about sizes they are not as broad as in the U.S. or other parts of the world.  Everything it taxed multiple times from import tax and duties to HST and on average prices are 30% more than in the U.S.. Seasonal decorations in the mall rarely change year after year and pick pocketing is an acceptable sport.   For some strange reason all this makes the Eaton Centre a tourist attraction. I guess you got to see it to believe it.  If I were to be traveling anywhere in the world a mall would not make my top ten list of sights to see.   I know this sounds negative, not my  intention. Its just the way it is. If you must shop in Toronto, Yorkdale would be the mall of choice. Same stores, nothing special, just cleaner with better service.  The Hudson Bay Company seems to be on track to setting a new standard in Toronto shopping. I hope they keep it up.  Hudson's Bay seem to be nailing selection, presentation and display very well."
41,"Eaton Center is a fairly decent mall in Toronto. It carries all the big names you'd want from a mall; H&M, Gap, Banana Republic, Abercrombie & Fitch, etc. The downtown location is pretty convenient (I hate having to drive out to Yorkdale), and it's a short walk to Queen St. boutiques. My reasoning behind the 'OK' review is because the mall itself sucks; from the hideous Canadian Geese suspended in the air at the Queen St Entrance to the badly planned escalators & elevators. There's so many things that just bother me about this mall that could easily be improved with a little investment. Take the food court for example. It's just plain dirty and poorly laid out. There's only a handful of places to eat and minimal seating. Their solution was to add a second food court and it was a stupid solution. No one ever goes to the second food court because it offers second-rate restaurants. A better idea would have been just to demolish the first food court and use the whole basement level as the food court; It would offer a larger selection of restaurants and provided loads more seating.  Another thing that kills me is the EXTREMELY overpriced parking. $3 each half hour? It takes half an hour just to get the car up the stupid ramp to park! In my opinion it's a mall so parking should be free (or at least less than the $15 maximum charge). The only thing that draws me back to this mall is the store selections, but aside from that the Eatons Center is a dump."
42,"Loved the location, the atmosphere and all the stores !! I need to go back again. I think only thing missing might be the cinema but the regal cinema is close so I went walking  Toronto is such a good place to be!"
43,"The mall was great, but what stole my heart was the outside area of Eaton Centre. Like literally across the street from it.It almost reminds me of Time's Square, but without the overwhelming crowd. We were able to just pulled up some chairs, sip some lemonade and CHILL. (Hell, if I knew about this place ahead of time I probably wouldn't have booked a hotel room in the first place. I would have brought my sleeping gear and camped out!) There's also some pretty cool dancers who come by. When this one girl started playing Thriller, about 30 people came up and we all started getting our zombie boogie on XDThis is one place I'd love to party at for New Year's eve!!!!"
44,"Big, definitely big! As a Vancouverite, who hasn't been to West Edmonton mall, this was a huge mall, multi level! It was well maintained and the washroom were very clean!  It had a lot of shopping choices but I personally didn't find a huge amount of deals. The bottom floor has the Starbucks, if you want a quick recharge!!"
45,TOURIST TRAP TOURIST TRAP.Overcrowded.UncomfortableYou can get exactly the same products at different places.
46,"This is a review specifically of Sketchers. I do a lot of walking so I always get their Go walk shoe. I haven't been to this particular location in ages, and I can safely say I won't be back. This was the worst customer service experience ever. The girl whose name was either Sue or Sam has jumped at me and when I was going to tell her my shoe size she has interrupted me and told me she would measure my feet to be precise. She didn't even tell me what she thought my shoe size was and then when she started bring out shoes I liked the sizes ranged from 8 to 9. Now, my shoe size is 11, so there is a BIG difference between an 8 and an 11 right? When I asked her to bring me a 10 she made a huge scene telling me that it was me who asked her to bring out a 9. She just seemed so confused and it looked like she had no idea what she was doing, randomly bringing out shoes in totally different sizes that I haven't asked her for."
47,"Hi and Good Evening to you all!!.  I have had some horrific experiences in the last six to eight months, and it has been getting progressively worse. I just spoke on the phone with a gentlemen John and, he said that three security guards will be spoken to, and, two females on May 22 were extremely aggressive and, frisked me while I was on my way to drop off a letter to a female in Sunglass Hut whom complained of Harassement, and, it was completely false as it dates back to last Christmas, and, I asked her out for a drink, and, she complained to head office, and, I was given and, told told to leave which I did, and, she went and, revealed my first and, last name as an addict, which she is not allowed and, if no action is taken, then I will. I also focused on the fact that two guys are loitering around the mall seeking attention for money, and, then asking for dates-they need to be warned about this action.  J.P."
48,"Of the last 3 visits to Toronto, I visited the Eaton Centre each time. I really like this mall because it is HUGE! There are just so many stores here, you would never be able to go into all of the stores in one day. Although yes it is just a mall (And a really big one at that... probably the biggest mall I've ever been to) and you could probably shop at another mall and get the same happy feel if you happen to find some wonderful buys, if you haven't already been here, you should come here and see what it's all about. And then after you can see if it was worth the trouble of coming or not."
49,"Eaton centre is a shopping centre in the heart of Toronto. There are the usual chain stores- Zara, H&M, Sears, and a couple of restaurants and a number of fast food chains. There are three levels of shopping. The mall is a bit average- there is nothing exceptional about the mall besides the fact that you're there to go shopping. However, due to its location, it is very convenient, especially since all the major stores are clustered together. The mall is usually packed and busy, even on weekdays. Parking is a bit expensive, but then again it is expensive in downtown Toronto. During boxing day, there are huge sales and it is so busy that you have to line outside the door!"
50,"The biggest mall in Toronto? This place is in the heart of Toronto and downtown. This mall is clean, GINORMOUS, lots of human traffic, and restaurants. It's decorated very nicely with glass doors, skylight ceiling, and great lighting. Food court is located on 1st floor, shops are located on 2nd and 3rd floor. Everything is a bit pricey in terms of food here, not sure how people can afford eating out here. If I didn't have an expense budget, i'd be depressed about food costs. Overall this place is a nice stop if you need to shop, but since i'm not a big shopping fan, it's not really for me. Has your typical American Eagle, Abercrombie, Tiffany's, Kate Spade, Steve Madden, etc. Tips:1) Go to the top floor for the best view"
51,"Das Eaton Centre ist ein konventionelles Einkaufszentrum, mit einem Abercrombie & Fitch Laden. Meines Wissens einer der wenigen in Kanada."
52,"5 stars if you are using it as a hub to visit other sites in the area as well.The Queen (NOT Queen Park) subway station exit leads right into the mall, so convenient! A welcomed sight is a Starbucks and Mrs. Field's cookies close to the exit: coffee and fresh baked cookies yummmmm! My friend an I sat by the fountain nearby to enjoy our goodies.The Eaton Centre boasts ""250+ best-in-class retailers, restaurants and services"". I'm a hardcore thrifter, so I don't shop at malls. However, this is a great place to people watch,  see what's fashionable and trendy, get home decorating ideas, take tons of fun pictures against beautiful and sometimes quirky shop windows, and of course, to eat.It was Saurday around noon and the place wasn't crowded at all. We leisurely strolled around the mall, walked through the sky bridge, crossed the street to check out Cloud Gardens (note to self, come back during the week when the conservatory is open), came back for a lovely lunch at Le̱a, walked around the mall's perimeter to admire some of the surrounding architecture, then stopped by Yonge-Dundas Square, all before heading home.My friend and I had a great time. I wouldn't mind coming back again."
53,My client & I did some eating and shopping today!
54,"Certainly not my favourite mall in Toronto, but it's always crucial to bring relatives here who are touring the city. Eaton Centre is more of a landmark than a mall, with Dundas Square always hosting activities, this mall is always packed as in uncomfortably packed where you'd have to be mindful not to walk into anyone. The interior isn't very spacious, and the roofs are very low making the space seem even more constricted. The parking lot is also a pain to get in and out of - one lane exiting out into Yonge Street with pedestrians constantly in your way on top of having to wait for the traffic light causes a huge line up of cars waiting to leave. The stores inside Eaton Centre are the same as any other mall, except for Stuart Weitzman. I'm very impressed by the improved food court - lots of seating with a modern/chic design. Anyways, if I could avoid coming to this mall, I would."
55,Great mall! Has low to high end stores and everything you need! I love the new Nordstrom and Saks Fifth Avenue-adds a bit of flair to the downtown core.
56,"It's fashionable to hate on the Eaton Centre, to poo poo it. Yeah, it's the Disney of retail. And many want to lay all kinds of problems with Yonge street retail because of it. But I have a hard time imagining I'd go downtown without the Eaton Centre there.The addition of the Best Buy and Canadian Tire to the ass end were pretty brilliant moves. The Canadian Tire at the Eaton Centre, unfortunately, is the worst Canadian Tire I've ever used in the nearly 44 years I've been alive.Sears as the new anchor really doesn't cut it in terms of high end retail. I seem to recall the Eaton Centre having more fashion shows and the like. Now it seems the public spaces have been given over to product promotions. Some are comical enough, like a bevy of young women in bathrobes handing out free liquid soap. I'll take 6.The food courts are dark and dingy and really in need of renovation. I never eat there.Hmmm. Yeah, this is technically a four star review. What do I like about it? The Old Navy is my go to place for clothing. It's dead easy to get to. It's a focus for some many odd ball types. People watching is great. It's a good launching point to hit Queen street, the water front, etc. The Second Cup kiosk on the north end always has my favorite brews ready and hot."
57,"This mall does the deed: you can buy clothes, shoes, electronics, housewares and even toiletries. The food court has sufficient variety to satisfy junk food craving and to keep you honest on your diet.There isn't a particular store located here that I cannot find in another mall in the city or on the high street. The actual Eaton's store closed long before I arrived to the city, with a Sears taking over its location, which as I write this, is closing down its operations in Canada! There is an office tower adjacent and if you worked there, this mall would be your salvation and your fall. Just saying.Unfortunately, you sometimes get caught in the crossfire of gun fights....Just be aware."
58,Some parts of the mall are renovated and other parts are ghetto. They need a major renovation and make it up to par with Yorkdale Mall or Sherway Gardens.
59,"I like going there and just browsing the plethora of stores.  I go there about one a month to find a gem I like be it clothing or a toy or gadget for my niece and nephews. I always treat myself to fast food at the end of my shopping adventure and my feet are usually exhausted by the end.  My only thing is that it is super busy all year round,  so if you are going there to relax it might not be the option for you unless, you find a busy mall relaxing."
60,Toronto Eaton Centre is a huge shopping mall well located in downtown. It has so many different shops for every taste and budget. We appreciated the interior decoration and spent few hours there. We could rest while enjoying some good food. The atmosphere is friendly and everybody is trying to find suitable offers. The service is very friendly and there are different prices.
61,"This is probably the most magnificent mall I have been too in the whole Canada! This is also the biggest mall in Toronto too! This mall also has high-end stores like Lucky Brand, Tiffany & Co, LUSH, Kate Spade, Harry Rosen, LuluLemon, Apple Store, & MUJi. A great dining selection can be found here, with Starbucks, Tim Hortons, Sbarro, Trinity Square Cafe, Urban Eatery, Dairy Queen, Mc'Donald's, & Bannok! This is one of the best malls in the world!"
62,"Don't be fooled by reviews stating this is the ""biggest mall in Canada"" as it is not.....in fact I'm not even sure it's the biggest mall in Toronto. The Eaton Centre was part of the urban renewal of downtown Toronto and is a hit and miss in its efforts.While not the biggest mall....it is fairly large......stores on three levels that are connected to both the subway and PATH (Toronto's huge subterranean system). Anchored by Queen St to the south and Dundas St to the north, it runs a full city block. Just across Queen St (to the South) is the Bay.....with its iconic window displays at Christmas...not to be missed. During peak hours (Monday - Friday -  11:00am - 2:00pm) it is busy with local workers shopping for deals. It can get very crowded and the food court line ups ridiculously long. Ditto for after work (4:30pm - 7pm). After that is quiets down. Avoid at all costs on Boxing Day and any day that there's a parade downtown or an event at Nathan Phillips Square. Its a magnet for people on those days.One big bonus is that you can shop downtown on a rainy day and not get wet, or not wear a coat during a cold winter snap....."
